Company name,Status,Industry,Salary-Cuts,Location
Fabric Inc,Hiring,Business Software,No,"India, US, Canada"
Facebook,Hiring,Consumer Tech,No,Global
Factoreal,Hiring,Business Software,No,"India, US"
Factset,Hiring,Consumer Tech,,India
Factspan Inc.,Layoffs,Consulting & Services,Yes,"Bangalore, Seattle, San Roman"
Fame Technologies,Hiring,Consulting & Services,No,Bangalore
Fareportal,Layoffs,Travel & Transportation,Yes,"Gurgaon, pune"
Fareportal,Layoffs,Travel & Transportation,Yes,Gurgaon
FarEye,Hiring,,No,
Farmguide,Layoffs,Food & Dining,Yes,Gurgaon
farmGuide,Hiring,Food & Dining,Yes,Gurgaon
Farmpay,Hiring,Financial Services,,India
Fashion TV India,Hiring,Media & Entertainment,No,
Finastra,Hiring,IT Infrastucture,No,
Finshots,Hiring,Financial Services,No,Bangalore
Finshots,Hiring,Financial Services,,India
First American India,Hiring,Financial Services,No,"Bangalore, Santa Ana"
FIS Global,Hiring,Financial Services,No,Pune
Fiserv india,Layoffs,IT Infrastucture,No,India
Fission Labs,Hiring,IT Infrastructure,,India
Flex Trade,Hiring,Financial Services,No,
Flexiple,Hiring,HR Tech,No,Bangalore
FlipCalss,Hiring,Education Tech,No,Bangalore
Flipkart,Offer rescinded,E-Commerce,,India
Flipkart,Hiring,E-Commerce,No,
Flipkart,Hiring,E-Commerce,,
Fliplearn,Layoffs,Education Tech,Yes,NCR
Flipspaces,Hiring freezes,Real Estate,Yes,"Delhi, Mumbai, Bangalore"
Foodshood.co,Hiring freezes,Food & Dining,No,Bangalore
Forcepoint Software,Hiring,Productivity Software,No,
FourKites,Hiring freezes,Travel & Transportation,No,Chennai
Fractal Analytics,Hiring freezes,Consulting & Services,No,"US, Mumbai, Bangalore,Gurgaon"
Fragma Data Systems,Hiring,Information Technology,,Bangalore
Freshhomez,Hiring freezes,Consumer Services,No,
Freshworks,Hiring freezes,Productivity Software,No,"Chennai, Bangalore, Hyderabad"
Fundamentum,Hiring,,,
Funding Societies,Layoffs,Financial Services,Yes,Thailand
Funplates private limited,Layoffs,Marketing & Advertising,Yes,MUMBAI
Fyle,Hiring,Financial Services,No,"Bangalore, Karnataka"
Fyle,Layoffs,Financial Services,,
GAIL India ltd,Hiring,Manufacturing,No,India
GAIN Credit,Hiring,Financial Services,Yes,"Chennai, Delhi"
Gameberry Labs,Hiring,Consumer Tech,No,Bangalore
Gameskraft,Hiring,Media & Entertainment,No,Bangalore
Gameskraft Technologies,Hiring,Productivity Software,,India
Garage Society co works,Hiring freezes,Real Estate,No,"Hong Kong, Singapore, India"
Gartner,Offer rescinded,IT Infrastucture,No,India
Gartner,Hiring freezes,Consulting & Services,No,
